original;corrigido
A - ALIANÇA;A- ALIANÇA
A - Aliança;A- ALIANÇA
A- ALIANÇA;A- ALIANÇA
A– Aliança;A- ALIANÇA
ADN- ALTERNATIVA DEMOCRÁTICA NACIONAL;ADN- ALTERNATIVA DEMOCRÁTICA NACIONAL
ADN - ALTERNATIVA DEMOCRÁTICA NACIONAL;ADN- ALTERNATIVA DEMOCRÁTICA NACIONAL
ADN – ALTERNATIVA DEMOCRÁTICA NACIONAL;ADN- ALTERNATIVA DEMOCRÁTICA NACIONAL
B.E.- Bloco de Esquerda;BE- Bloco de Esquerda
B.E. - Bloco de Esquerda;BE- Bloco de Esquerda
B.E. – Bloco de Esquerda;BE- Bloco de Esquerda
CDS– PP – CDS - Partido Popular;CDS-PP- CDS-Partido Popular
CDS-PP – CDS - Partido Popular;CDS-PP- CDS-Partido Popular
CDS-PP – CDS – Partido Popular;CDS-PP- CDS-Partido Popular
CDS-PP – CDS-Partido Popular;CDS-PP- CDS-Partido Popular
CDS-PP – CDS–Partido Popular;CDS-PP- CDS-Partido Popular
CDS-PP – Partido Popular;CDS-PP- CDS-Partido Popular
CDU- Coligação Democrática Unitária;PCP.PEV- CDU- Coligação Democrática Unitária
CH-CHEGA;CH- CHEGA
CH - CHEGA;CH- CHEGA
CH – CHEGA;CH- CHEGA
E - Ergue-te;E- Ergue-te
E – Ergue-te;E- Ergue-te
E- Ergue-te;E- Ergue-te
IL- Iniciativa Liberal;IL- Iniciativa Liberal
IL - Iniciativa Liberal;IL- Iniciativa Liberal
IL – Iniciativa Liberal;IL- Iniciativa Liberal
JPP- Juntos pelo Povo;JPP- Juntos pelo Povo
JPP – Juntos Pelo Povo;JPP- Juntos pelo Povo
L - LIVRE;L- LIVRE
L – LIVRE;L- LIVRE
L -LIVRE;L- LIVRE
L- LIVRE;L- LIVRE
MAS - Movimento Alternativa Socialista;MAS- Movimento Alternativa Socialista
MAS – Movimento Alternativa Socialista;MAS- Movimento Alternativa Socialista
MPT- Partido da Terra;MPT- Partido da Terra
MPT - Partido da Terra;MPT- Partido da Terra
MPT – Partido da Terra;MPT- Partido da Terra
NC – Nós Cidadãos!;NC- Nós Cidadãos!
NC – Nós, Cidadãos!;NC- Nós Cidadãos!
PAN - PESSOAS - ANIMAIS - NATUREZA;PAN- PESSOAS - ANIMAIS - NATUREZA
PAN - PESSOAS - ANIMAIS – NATUREZA;PAN- PESSOAS - ANIMAIS - NATUREZA
PAN – PESSOAS- ANIMAIS - NATUREZA;PAN- PESSOAS - ANIMAIS - NATUREZA
PAN – PESSOAS-ANIMAIS-NATUREZA;PAN- PESSOAS - ANIMAIS - NATUREZA
PAN – PESSOAS – ANIMAIS - NATUREZA;PAN- PESSOAS - ANIMAIS - NATUREZA
PAN – PESSOAS – ANIMAIS – NATUREZA;PAN- PESSOAS - ANIMAIS - NATUREZA
PAN – PESSOAS –ANIMAIS – NATUREZA;PAN- PESSOAS - ANIMAIS - NATUREZA
PCP- PEV - CDU – Coligação Democrática Unitária;PCP.PEV- CDU- Coligação Democrática Unitária
PCP-PEV - CDU - Coligação Democrática Unitária;PCP.PEV- CDU- Coligação Democrática Unitária
PCP-PEV – CDU – Coligação Democrática Unitária;PCP.PEV- CDU- Coligação Democrática Unitária
PCP – PEV - CDU- Coligação Democrática Unitária;PCP.PEV- CDU- Coligação Democrática Unitária
PCP – PEV - CDU – Coligação Democrática Unitária;PCP.PEV- CDU- Coligação Democrática Unitária
PCP – PEV – CDU – Coligação Democrática Unitária;PCP.PEV- CDU- Coligação Democrática Unitária
PCTP/MRPP– Partido Comunista dos Trabalhadores Portugueses;PCTP/MRPP- Partido Comunista dos Trabalhadores Portugueses
PCTP/MRPP – Partido Comunista dos Trabalhadores Portugueses;PCTP/MRPP- Partido Comunista dos Trabalhadores Portugueses
PCTP/MRPP – Partida Comunista dos Trabalhadores Portugueses;PCTP/MRPP- Partido Comunista dos Trabalhadores Portugueses
PPD/PDS- Partido Social Democrata;PPD/PSD- Partido Social Democrata
PPD/PSD - Partido Social Democrata;PPD/PSD- Partido Social Democrata
PPD/PSD – Partido Social Democrata;PPD/PSD- Partido Social Democrata
PPD/PSD.CDS-PP - MADEIRA PRIMEIRO;PPD/PSD.CDS-PP - MADEIRA PRIMEIRO
PPD/PSD.CDS-PP.PPM – AD/Aliança Democrática;PPD/PSD.CDS-PP.PPM – AD/Aliança Democrática
PPM - Partido Popular Monárquico;PPM- Partido Popular Monárquico
PS - Partido Socialista;PS- Partido Socialista
PS – Partido Socialista;PS- Partido Socialista
PS- Partido Socialista;PS- Partido Socialista
PTP - Partido Trabalhista Português;PTP- Partido Trabalhista Português
PTP – Partido Trabalhista Português;PTP- Partido Trabalhista Português
R.I.R - Reagir Incluir Reciclar;R.I.R- Reagir Incluir Reciclar
R.I.R – Partido Reagir Incluir Reciclar;R.I.R- Reagir Incluir Reciclar
R.I.R – Reagir Incluir Reciclar;R.I.R- Reagir Incluir Reciclar
R.I.R. - Reagir Incluir Reciclar;R.I.R- Reagir Incluir Reciclar
R.I.R. – Reagir Incluir Reciclar;R.I.R- Reagir Incluir Reciclar
VP - Volt Portugal;VP- Volt Portugal
VP – Volt Portugal;VP- Volt Portugal
